Species,Antigen,Clone,Catalog no.,Flurochrome,Product name,Acetone human,4% PFA human,FFPE human,FFPE human RNAsky,Acetone mouse,4% PFA mouse,FFPE mouse,Gene names,Antibody type,Company
mouse,CD244.1,REA524,130-107-936,PE,"CD244.1 Antibody, anti-mouse, REAfinity™",,,,,yes,no,,2B4; C9.1; CD244; F730046O15RIK; LY90; NAIL; NKR2B4; NMRK; SLAMF4,REA,Miltenyi
human,CD247 (CD3ζ),REAL1135,130-127-939,PE,"CD247 (CD3ζ) Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,CD247; CD3-ZETA; CD3H; CD3Q; CD3Z; IMD25; T3Z; TCRZ,REAL,Miltenyi
human,CD247 (CD3ζ),REAL1135,130-135-637,Vio B515,"CD247 (CD3ζ) Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,CD247; CD3-ZETA; CD3H; CD3Q; CD3Z; IMD25; T3Z; TCRZ,REAL,Miltenyi
human,CD247 (CD3ζ),REAL1135,130-136-748,Vio R667,"CD247 (CD3ζ) Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,CD247; CD3-ZETA; CD3H; CD3Q; CD3Z; IMD25; T3Z; TCRZ,REAL,Miltenyi
human,CD248 (Endosialin),REA1344,130-133-448,PE,"CD248 (Endosialin) Antibody, anti-human, REAfinity™",,yes,yes,,,,,CD248; TEM1; CD164L1,REA,Miltenyi
human,CD25,4E3,130-113-280,APC,"CD25 Antibody, anti-human",yes,no,no,,,,,CD25; IDDM10; IL2R; IL2RA; IMD41; P55; TCGFR,Hybridoma,Miltenyi
human,CD25,4E3,130-113-282,PE,"CD25 Antibody, anti-human",yes,no,no,,,,,CD25; IDDM10; IL2R; IL2RA; IMD41; P55; TCGFR,Hybridoma,Miltenyi
human,CD25,REA945,130-115-535,APC,"CD25 Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD25; IDDM10; IL2R; IL2RA; IMD41; P55; TCGFR,REA,Miltenyi
human,CD25,REA945,130-115-534,PE,"CD25 Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD25; IDDM10; IL2R; IL2RA; IMD41; P55; TCGFR,REA,Miltenyi
mouse,CD25,7D4,130-116-496,APC,"CD25 Antibody, anti-mouse",,,,,yes,no,,CD25; IL2R; IL2RA; LY-43,Hybridoma,Miltenyi
mouse,CD25,7D4,130-118-678,PE,"CD25 Antibody, anti-mouse",,,,,yes,no,,CD25; IL2R; IL2RA; LY-43,Hybridoma,Miltenyi
mouse,CD25,REA568,130-120-767,APC,"CD25 Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CD25; IL2R; IL2RA; LY-43,REA,Miltenyi
mouse,CD25,REA568,130-120-766,PE,"CD25 Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CD25; IL2R; IL2RA; LY-43,REA,Miltenyi
mouse,CD252 (OX40L),REA960,130-116-073,APC,"CD252 (OX40L) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,ATH-1; ATH1; CD134L; GP34; OX-40L; OX40L; TNFSF4; TNLG2B; TXGP1; TXGP1L,REA,Miltenyi
mouse,CD252 (OX40L),REA960,130-116-071,FITC,"CD252 (OX40L) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,ATH-1; ATH1; CD134L; GP34; OX-40L; OX40L; TNFSF4; TNLG2B; TXGP1; TXGP1L,REA,Miltenyi
mouse,CD252 (OX40L),REA960,130-116-072,PE,"CD252 (OX40L) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,ATH-1; ATH1; CD134L; GP34; OX-40L; OX40L; TNFSF4; TNLG2B; TXGP1; TXGP1L,REA,Miltenyi
mouse,CD252 (OX40L),RM134L,130-102-530,APC,"CD252 (OX40L) Antibody, anti-mouse",,,,,yes,no,,ATH-1; ATH1; CD134L; GP34; OX-40L; OX40L; TNFSF4; TNLG2B; TXGP1; TXGP1L,Hybridoma,Miltenyi
mouse,CD252 (OX40L),RM134L,130-102-582,PE,"CD252 (OX40L) Antibody, anti-mouse",,,,,yes,no,,ATH-1; ATH1; CD134L; GP34; OX-40L; OX40L; TNFSF4; TNLG2B; TXGP1; TXGP1L,Hybridoma,Miltenyi
human,CD254 (RANKL),DN254,130-134-108,APC,"CD254 (RANKL) Antibody, anti-human",yes,no,no,,,,,CD254; HRANKL2; ODF; OPGL; OPTB2; RANKL; SODF; TNFSF11; TNLG6B; TRANCE,Hybridoma,Miltenyi
human,CD254 (RANKL),DN254,130-125-201,PE,"CD254 (RANKL) Antibody, anti-human",yes,no,no,,,,,CD254; HRANKL2; ODF; OPGL; OPTB2; RANKL; SODF; TNFSF11; TNLG6B; TRANCE,Hybridoma,Miltenyi
human,CD26,FR10-11G9,130-120-699,APC,"CD26 Antibody, anti-human",yes,yes,no,,,,,ADABP; ADCP2; CD26; DPP4; DPPIV; TP103,Hybridoma,Miltenyi
human,CD26,FR10-11G9,130-126-362,PE,"CD26 Antibody, anti-human",yes,yes,no,,,,,ADABP; ADCP2; CD26; DPP4; DPPIV; TP103,Hybridoma,Miltenyi
mouse,CD26,H194-112,130-125-990,APC,"CD26 Antibody, anti-mouse",,,,,yes,yes,,CD26; DPP-4; DPP4; THAM,Hybridoma,Miltenyi
mouse,CD26,H194-112,130-119-652,PE,"CD26 Antibody, anti-mouse",,,,,yes,yes,,CD26; DPP-4; DPP4; THAM,Hybridoma,Miltenyi
mouse,CD26,REA1196,130-122-776,APC,"CD26 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,CD26; DPP-4; DPP4; THAM,REA,Miltenyi
mouse,CD26,REA1196,130-122-775,PE,"CD26 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,CD26; DPP-4; DPP4; THAM,REA,Miltenyi
human,CD268,11C1,130-097-648,APC,"CD268 Antibody, anti-human",yes,yes,yes,,,,,BAFF-R; BAFFR; BROMIX; CD268; CVID4; PROLIXIN; TNFRSF13C,Hybridoma,Miltenyi
human,CD268,11C1,130-097-656,FITC,"CD268 Antibody, anti-human",yes,yes,yes,,,,,BAFF-R; BAFFR; BROMIX; CD268; CVID4; PROLIXIN; TNFRSF13C,Hybridoma,Miltenyi
human,CD268,11C1,130-097-654,PE,"CD268 Antibody, anti-human",yes,yes,yes,,,,,BAFF-R; BAFFR; BROMIX; CD268; CVID4; PROLIXIN; TNFRSF13C,Hybridoma,Miltenyi
human,CD268,REA1115,130-119-298,APC,"CD268 Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,BAFF-R; BAFFR; BROMIX; CD268; CVID4; PROLIXIN; TNFRSF13C,REA,Miltenyi
human,CD268,REA1115,130-119-296,FITC,"CD268 Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,BAFF-R; BAFFR; BROMIX; CD268; CVID4; PROLIXIN; TNFRSF13C,REA,Miltenyi
human,CD268,REA1115,130-119-297,PE,"CD268 Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,BAFF-R; BAFFR; BROMIX; CD268; CVID4; PROLIXIN; TNFRSF13C,REA,Miltenyi
human,CD27,REAL173,130-116-228,APC,"CD27 Antibody, anti-human, REAlease®",yes,no,,,,,,CD27; S152; S152. LPFS2; T14; TNFRSF7; TP55,REAL,Miltenyi
human,CD27,M-T271,130-113-626,APC,"CD27 Antibody, anti-human",yes,no,no,,,,,CD27; S152; S152. LPFS2; T14; TNFRSF7; TP55,Hybridoma,Miltenyi
human,CD27,M-T271,130-113-629,FITC,"CD27 Antibody, anti-human",yes,no,no,,,,,CD27; S152; S152. LPFS2; T14; TNFRSF7; TP55,Hybridoma,Miltenyi
human,CD27,M-T271,130-113-630,PE,"CD27 Antibody, anti-human",yes,no,no,,,,,CD27; S152; S152. LPFS2; T14; TNFRSF7; TP55,Hybridoma,Miltenyi
"human, mouse",CD27,REA499,130-113-636,APC,"CD27 Antibody, anti-human/mouse, REAfinity™",yes,yes,no,,yes,yes,,CD27; S152; S152. LPFS2; T14; TNFRSF7; TP55,REA,Miltenyi
"human, mouse",CD27,REA499,130-113-639,FITC,"CD27 Antibody, anti-human/mouse, REAfinity™",yes,yes,no,,yes,yes,,CD27; S152; S152. LPFS2; T14; TNFRSF7; TP55,REA,Miltenyi
"human, mouse",CD27,REA499,130-113-640,PE,"CD27 Antibody, anti-human/mouse, REAfinity™",yes,yes,no,,yes,yes,,CD27; S152; S152. LPFS2; T14; TNFRSF7; TP55,REA,Miltenyi
human,CD270 (HVEM),REAL846,130-126-217,PE,"CD270 (HVEM) Antibody, anti-human, REAdye_lease™",yes,no,yes,,,,,ATAR; CD270; HVEA; HVEM; LIGHTR; TNFRSF14; TR2,REAL,Miltenyi
mouse,CD270 (HVEM),REA275,130-102-772,APC,"CD270 (HVEM) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,ATAR; HVEA; HVEM; TNFRS14; TNFRSF14,REA,Miltenyi
mouse,CD270 (HVEM),REA275,130-102-771,PE,"CD270 (HVEM) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,ATAR; HVEA; HVEM; TNFRS14; TNFRSF14,REA,Miltenyi
human,CD271 (LNGFR),REAL709,130-125-057,APC,"CD271 (LNGFR) Antibody, anti-human, REAlease®",yes,yes,yes,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,REAL,Miltenyi
human,CD271 (LNGFR),REAL709,130-125-053,PE,"CD271 (LNGFR) Antibody, anti-human, REAlease®",yes,yes,yes,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,REAL,Miltenyi
human,CD271 (LNGFR),REAL709,130-131-844,Vio R667,"CD271 (LNGFR) Antibody, anti-human, REAlease®",,yes,yes,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,REAL,Miltenyi
human,CD271 (LNGFR),ME20.4-1.H4,130-113-418,APC,"CD271 (LNGFR) Antibody, anti-human",yes,yes,no,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,Hybridoma,Miltenyi
human,CD271 (LNGFR),ME20.4-1.H4,130-113-420,FITC,"CD271 (LNGFR) Antibody, anti-human",yes,yes,no,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,Hybridoma,Miltenyi
human,CD271 (LNGFR),ME20.4-1.H4,130-113-421,PE,"CD271 (LNGFR) Antibody, anti-human",yes,yes,no,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,Hybridoma,Miltenyi
human,CD271 (LNGFR),REA844,130-112-602,APC,"CD271 (LNGFR) Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,REA,Miltenyi
human,CD271 (LNGFR),REA844,130-112-605,FITC,"CD271 (LNGFR) Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,REA,Miltenyi
human,CD271 (LNGFR),REA844,130-112-601,PE,"CD271 (LNGFR) Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD271; GP80-LNGFR; NGFR; P75(NTR); P75NTR; TNFRSF16,REA,Miltenyi
mouse,CD272 (BTLA),REA224,130-102-688,APC,"CD272 (BTLA) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,A630002H24; BTLA,REA,Miltenyi
mouse,CD272 (BTLA),REA224,130-102-689,PE,"CD272 (BTLA) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,A630002H24; BTLA,REA,Miltenyi
human,CD273 (PD-L2),MIH18,130-098-531,APC,"CD273 (PD-L2) Antibody, anti-human",yes,no,no,,,,,B7DC; BA574F11.2; BTDC; CD273; PD-L2; PDCD1L2; PDCD1LG2; PDL2,Hybridoma,Miltenyi
human,CD273 (PD-L2),MIH18,130-098-528,FITC,"CD273 (PD-L2) Antibody, anti-human",yes,no,no,,,,,B7DC; BA574F11.2; BTDC; CD273; PD-L2; PDCD1L2; PDCD1LG2; PDL2,Hybridoma,Miltenyi
human,CD273 (PD-L2),MIH18,130-098-530,PE,"CD273 (PD-L2) Antibody, anti-human",yes,no,no,,,,,B7DC; BA574F11.2; BTDC; CD273; PD-L2; PDCD1L2; PDCD1LG2; PDL2,Hybridoma,Miltenyi
human,CD273 (PD-L2),REA985,130-116-564,APC,"CD273 (PD-L2) Antibody, anti-human, REAfinity™",yes,no,no,,,,,B7DC; BA574F11.2; BTDC; CD273; PD-L2; PDCD1L2; PDCD1LG2; PDL2,REA,Miltenyi
human,CD273 (PD-L2),REA985,130-116-562,FITC,"CD273 (PD-L2) Antibody, anti-human, REAfinity™",yes,no,no,,,,,B7DC; BA574F11.2; BTDC; CD273; PD-L2; PDCD1L2; PDCD1LG2; PDL2,REA,Miltenyi
human,CD273 (PD-L2),REA985,130-116-563,PE,"CD273 (PD-L2) Antibody, anti-human, REAfinity™",yes,no,no,,,,,B7DC; BA574F11.2; BTDC; CD273; PD-L2; PDCD1L2; PDCD1LG2; PDL2,REA,Miltenyi
human,CD274 (PD-L1),REA1308,130-135-491,APC,"CD274 (PD-L1) Antibody, anti-human, REAfinity™",,,yes,yes,,,,B7-H; B7H1; PD-L1; PDCD1L1; PDCD1LG1; PDL1; CD274,REA,Miltenyi
human,CD274 (PD-L1),REA1308,130-127-907,PE,"CD274 (PD-L1) Antibody, anti-human, REAfinity™",,,yes,yes,,,,B7-H; B7H1; PD-L1; PDCD1L1; PDCD1LG1; PDL1; CD274,REA,Miltenyi
human,CD276,FM276,130-124-242,APC,"CD276 Antibody, anti-human",yes,yes,no,,,,,CD276; 4Ig-B7-H3; B7-H3; B7H3; B7RP-2,Hybridoma,Miltenyi
human,CD276,FM276,130-124-217,FITC,"CD276 Antibody, anti-human",yes,yes,no,,,,,CD276; 4Ig-B7-H3; B7-H3; B7H3; B7RP-2,Hybridoma,Miltenyi
human,CD276,FM276,130-120-712,PE,"CD276 Antibody, anti-human",yes,yes,no,,,,,CD276; 4Ig-B7-H3; B7-H3; B7H3; B7RP-2,Hybridoma,Miltenyi
human,CD276,REA1094,130-118-571,APC,"CD276 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,4IG-B7-H3; B7-H3; B7H3; B7RP-2; CD276,REA,Miltenyi
human,CD276,REA1094,130-118-569,FITC,"CD276 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,4IG-B7-H3; B7-H3; B7H3; B7RP-2; CD276,REA,Miltenyi
human,CD276,REA1094,130-118-570,PE,"CD276 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,4IG-B7-H3; B7-H3; B7H3; B7RP-2; CD276,REA,Miltenyi
human,CD277,BT3.1,130-124-880,APC,"CD277 Antibody, anti-human",yes,yes,no,,,,,BT3.1; BTF5; BTN3.1; BTN3A1; CD277,Hybridoma,Miltenyi
human,CD277,BT3.1,130-117-693,PE,"CD277 Antibody, anti-human",yes,yes,no,,,,,BT3.1; BTF5; BTN3.1; BTN3A1; CD277,Hybridoma,Miltenyi
"human, mouse, rat",CD278 (ICOS),REA192,130-133-970,APC,"CD278 (ICOS) Antibody, anti-human/mouse/rat, REAfinity™",yes,no,no,,yes,no,,AILIM; CCLP; CD278; CRP-1; CVID1; H4; ICOS; LY115,REA,Miltenyi
"human, mouse, rat",CD278 (ICOS),REA192,130-123-687,FITC,"CD278 (ICOS) Antibody, anti-human/mouse/rat, REAfinity™",yes,no,no,,yes,no,,AILIM; CCLP; CD278; CRP-1; CVID1; H4; ICOS; LY115,REA,Miltenyi
"human, mouse, rat",CD278 (ICOS),REA192,130-120-069,PE,"CD278 (ICOS) Antibody, anti-human/mouse/rat, REAfinity™",yes,no,no,,yes,no,,AILIM; CCLP; CD278; CRP-1; CVID1; H4; ICOS; LY115,REA,Miltenyi
human,CD279 (PD1),REAL383,130-119-921,APC,"CD279 (PD1) Antibody, anti-human, REAlease®",yes,yes,,,,,,CD279; HPD-1; HPD-L; HSLE1; PD-1; PD1; PDCD1; SLEB2,REAL,Miltenyi
human,CD279 (PD1),PD1.3.1.3,130-117-694,APC,"CD279 (PD1) Antibody, anti-human",no,yes,yes,,,,,CD279; HPD-1; HPD-L; HSLE1; PD-1; PD1; PDCD1; SLEB2,Hybridoma,Miltenyi
human,CD279 (PD1),PD1.3.1.3,130-117-384,PE,"CD279 (PD1) Antibody, anti-human",no,yes,yes,,,,,CD279; HPD-1; HPD-L; HSLE1; PD-1; PD1; PDCD1; SLEB2,Hybridoma,Miltenyi
human,CD279 (PD1),REA1165,130-120-383,APC,"CD279 (PD1) Antibody, anti-human, REAfinity™",no,yes,yes,yes,,,,CD279; HPD-1; HPD-L; HSLE1; PD-1; PD1; PDCD1; SLEB2,REA,Miltenyi
human,CD279 (PD1),REA1165,130-120-382,PE,"CD279 (PD1) Antibody, anti-human, REAfinity™",no,yes,yes,yes,,,,CD279; HPD-1; HPD-L; HSLE1; PD-1; PD1; PDCD1; SLEB2,REA,Miltenyi
human,CD279 (PD1),REAL531,130-122-169,APC,"CD279 (PD-1) Antibody, anti-human, REAdye_lease™",yes,,yes,,,,,CD279; HPD-1; HPD-L; HSLE1; PD-1; PD1; PDCD1; SLEB2,REAL,Miltenyi
mouse,CD279 (PD1),HA2-7B1,130-102-263,APC,"CD279 (PD1) Antibody, anti-mouse",,,,,yes,no,,LY101; PD-1; PDC1; PDCD1,Hybridoma,Miltenyi
mouse,CD279 (PD1),HA2-7B1,130-102-249,FITC,"CD279 (PD1) Antibody, anti-mouse",,,,,yes,no,,LY101; PD-1; PDC1; PDCD1,Hybridoma,Miltenyi
mouse,CD279 (PD1),REA802,130-111-954,APC,"CD279 (PD1) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,LY101; PD-1; PDC1; PDCD1,REA,Miltenyi
mouse,CD279 (PD1),REA802,130-111-952,FITC,"CD279 (PD1) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,LY101; PD-1; PDC1; PDCD1,REA,Miltenyi
mouse,CD279 (PD1),REA802,130-111-953,PE,"CD279 (PD1) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,LY101; PD-1; PDC1; PDCD1,REA,Miltenyi
human,CD28,15E8,130-121-994,APC,"CD28 Antibody, anti-human",yes,yes,no,,,,,CD28; TP44,Hybridoma,Miltenyi
human,CD28,15E8,130-126-172,PE,"CD28 Antibody, anti-human",yes,yes,no,,,,,CD28; TP44,Hybridoma,Miltenyi
human,CD28,REA612,130-118-343,APC,"CD28 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD28; TP44,REA,Miltenyi
human,CD28,REA612,130-123-782,PE,"CD28 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD28; TP44,REA,Miltenyi
human,CD283 (TLR3),TLR 3.7,130-096-885,APC,"CD283 (TLR3) Antibody, anti-human",yes,no,no,,,,,CD283; IIAE2; TLR3,Hybridoma,Miltenyi
human,CD283 (TLR3),TLR 3.7,130-096-887,PE,"CD283 (TLR3) Antibody, anti-human",yes,no,no,,,,,CD283; IIAE2; TLR3,Hybridoma,Miltenyi
mouse,CD283 (TLR3),11F8,130-102-760,APC,"CD283 (TLR3) Antibody, anti-mouse",,,,,yes,no,,AI957183; TLR3,Hybridoma,Miltenyi
mouse,CD283 (TLR3),11F8,130-102-758,FITC,"CD283 (TLR3) Antibody, anti-mouse",,,,,yes,no,,AI957183; TLR3,Hybridoma,Miltenyi
mouse,CD283 (TLR3),11F8,130-102-759,PE,"CD283 (TLR3) Antibody, anti-mouse",,,,,yes,no,,AI957183; TLR3,Hybridoma,Miltenyi
human,CD284 (TLR4),REAL1458,130-132-857,Vio B515,"CD284 (TLR4) Antibody, anti-human, REAdye_lease™",,,yes,,,,,ARMD10; CD284; TLR-4; TLR4; TOLL,REAL,Miltenyi
human,CD29,REA1060,130-118-122,APC,"CD29 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD29; FNRB; GPIIA; ITGB1; MDF2; MSK12; VLA-BETA; VLAB,REA,Miltenyi
human,CD29,REA1060,130-118-121,PE,"CD29 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD29; FNRB; GPIIA; ITGB1; MDF2; MSK12; VLA-BETA; VLAB,REA,Miltenyi
human,CD29,TS2/16,130-101-280,APC,"CD29 Antibody, anti-human",yes,yes,no,,,,,CD29; FNRB; GPIIA; ITGB1; MDF2; MSK12; VLA-BETA; VLAB,Hybridoma,Miltenyi
human,CD29,TS2/16,130-123-692,FITC,"CD29 Antibody, anti-human",yes,yes,no,,,,,CD29; FNRB; GPIIA; ITGB1; MDF2; MSK12; VLA-BETA; VLAB,Hybridoma,Miltenyi
human,CD29,TS2/16,130-101-273,PE,"CD29 Antibody, anti-human",yes,yes,no,,,,,CD29; FNRB; GPIIA; ITGB1; MDF2; MSK12; VLA-BETA; VLAB,Hybridoma,Miltenyi
"mouse, rat",CD29,HMβ1-1,130-123-829,APC,"CD29 Antibody, anti-mouse",,,,,yes,yes,,4633401G24RIK; AA409975; AA960159; CD29; FNRB; GM9863; GPIIA; ITGB1,Hybridoma,Miltenyi
"mouse, rat",CD29,HMβ1-1,130-102-503,FITC,"CD29 Antibody, anti-mouse",,,,,yes,yes,,4633401G24RIK; AA409975; AA960159; CD29; FNRB; GM9863; GPIIA; ITGB1,Hybridoma,Miltenyi
"mouse, rat",CD29,HMβ1-1,130-102-602,PE,"CD29 Antibody, anti-mouse",,,,,yes,yes,,4633401G24RIK; AA409975; AA960159; CD29; FNRB; GM9863; GPIIA; ITGB1,Hybridoma,Miltenyi
"mouse, rat",CD29,REA1074,130-119-166,APC,"CD29 Antibody, anti-mouse/rat, REAfinity™",,,,,yes,yes,,4633401G24RIK; AA409975; AA960159; CD29; FNRB; GM9863; GPIIA; ITGB1,REA,Miltenyi
"mouse, rat",CD29,REA1074,130-119-165,PE,"CD29 Antibody, anti-mouse/rat, REAfinity™",,,,,yes,yes,,4633401G24RIK; AA409975; AA960159; CD29; FNRB; GM9863; GPIIA; ITGB1,REA,Miltenyi
human,CD295 (LEPR),REA361,130-124-879,APC,"CD295 (LEPR) Antibody, anti-human, REAfinity™",yes,,yes,,,,,CD295; LEP-RD; LEPR; OB-R; OBR,REA,Miltenyi
human,CD295 (LEPR),REA361,130-125-203,PE,"CD295 (LEPR) Antibody, anti-human, REAfinity™",yes,,yes,,,,,CD295; LEP-RD; LEPR; OB-R; OBR,REA,Miltenyi
human,CD298,REA217,130-101-288,APC,"CD298 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,ATP1B3; ATPB-3; CD298,REA,Miltenyi
human,CD298,REA217,130-123-263,FITC,"CD298 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,ATP1B3; ATPB-3; CD298,REA,Miltenyi
human,CD298,REA217,130-126-377,PE,"CD298 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,ATP1B3; ATPB-3; CD298,REA,Miltenyi
human,CD2AP,REA1147,130-119-792,APC,"CD2AP Antibody, anti-human, REAfinity™",,,yes,,,,,CD2AP; CMS,REA,Miltenyi
human,CD2AP,REA1147,130-119-791,PE,"CD2AP Antibody, anti-human, REAfinity™",,,yes,,,,,CD2AP; CMS,REA,Miltenyi
human,CD3,BW264/56,130-113-125,APC,"CD3 Antibody, anti-human",yes,yes,no,,,,,CD3E; IMD18; T3E; TCRE,Hybridoma,Miltenyi
human,CD3,BW264/56,130-113-128,FITC,"CD3 Antibody, anti-human",yes,yes,no,,,,,CD3E; IMD18; T3E; TCRE,Hybridoma,Miltenyi
human,CD3,BW264/56,130-113-129,PE,"CD3 Antibody, anti-human",yes,yes,no,,,,,CD3E; IMD18; T3E; TCRE,Hybridoma,Miltenyi
human,CD3,REAL1097,130-128-911,APC,"CD3 Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,CD3E; IMD18; T3E; TCRE,REAL,Miltenyi
human,CD3,REAL1097,130-128-918,PE,"CD3 Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,CD3E; IMD18; T3E; TCRE,REAL,Miltenyi
human,CD3,REA1151,130-120-269,APC,"CD3 Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,CD3-DELTA; CD3-GAMMA; CD3D; CD3E; CD3G; IMD17; IMD18; IMD19; T3D; T3E; T3G; TCRE,REA,Miltenyi
human,CD3,REA1151,130-120-267,FITC,"CD3 Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,CD3-DELTA; CD3-GAMMA; CD3D; CD3E; CD3G; IMD17; IMD18; IMD19; T3D; T3E; T3G; TCRE,REA,Miltenyi
human,CD3,REA1151,130-120-268,PE,"CD3 Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,CD3-DELTA; CD3-GAMMA; CD3D; CD3E; CD3G; IMD17; IMD18; IMD19; T3D; T3E; T3G; TCRE,REA,Miltenyi
human,CD3,REA613,130-113-135,APC,"CD3 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD3E; IMD18; T3E; TCRE,REA,Miltenyi
human,CD3,REA613,130-113-138,FITC,"CD3 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD3E; IMD18; T3E; TCRE,REA,Miltenyi
human,CD3,REA613,130-113-139,PE,"CD3 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD3E; IMD18; T3E; TCRE,REA,Miltenyi
mouse,CD3,REA641,130-122-943,APC,"CD3 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,CD3E; CD3G; AI504783; CD3; CD3EPSILON; T3E; CTG-3; CTG3; T3G,REA,Miltenyi
mouse,CD3,REA641,130-119-798,FITC,"CD3 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,CD3E; CD3G; AI504783; CD3; CD3EPSILON; T3E; CTG-3; CTG3; T3G,REA,Miltenyi
mouse,CD3,REA641,130-121-133,PE,"CD3 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,CD3E; CD3G; AI504783; CD3; CD3EPSILON; T3E; CTG-3; CTG3; T3G,REA,Miltenyi
mouse,CD3,REAL160,130-136-755,Vio B515,"CD3 Antibody, anti-mouse, REAdye_lease™",,,,,,yes,,CD3E; CD3G; AI504783; CD3; CD3EPSILON; T3E; CTG-3; CTG3; T3G,REAL,Miltenyi
mouse,CD300a (LMIR1),REA573,130-109-037,APC,"CD300a (LMIR1) Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,B230315M08RIK; CD300A; CLM8; LMIR1; MAIR-1; MAIR-I; MAIR-IA; MCPIR1; MMAC8; PIGR4,REA,Miltenyi
mouse,CD300a (LMIR1),REA573,130-126-527,PE,"CD300a (LMIR1) Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,B230315M08RIK; CD300A; CLM8; LMIR1; MAIR-1; MAIR-I; MAIR-IA; MCPIR1; MMAC8; PIGR4,REA,Miltenyi
human,CD301 (CLEC10A),REA586,130-132-429,APC,"CD301 (CLEC10A) Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD301; CLEC10A; CLECSF13; CLECSF14; HML; HML2; MGL,REA,Miltenyi
human,CD301 (CLEC10A),REA586,130-127-875,PE,"CD301 (CLEC10A) Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD301; CLEC10A; CLECSF13; CLECSF14; HML; HML2; MGL,REA,Miltenyi
mouse,CD301a (MGL1),REA581,130-109-217,APC,"CD301a (MGL1) Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,CD301A; CLEC10A; M-ASGP-BP-1; MGL; MGL1,REA,Miltenyi
mouse,CD301a (MGL1),REA581,130-126-530,PE,"CD301a (MGL1) Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,CD301A; CLEC10A; M-ASGP-BP-1; MGL; MGL1,REA,Miltenyi
